Metabolite_name	RefMet_name	3058(1)-01_12_1_748	3058(1)-02_12_1_749	3058(2)-01_13_1_750	3058(2)-02_13_1_751	3058(3)-01_14_1_752	3058(3)-02_14_1_753	3058(4)-01_15_1_754	3058(4)-02_15_1_755	3058(5)-01_16_1_756	3058(5)-02_16_1_757	3066(1)-01_7_1_738	3066(1)-02_7_1_739	3066(2)-01_8_1_740	3066(2)-02_8_1_741	3066(3)-01_9_1_742	3066(3)-02_9_1_743	3066(4)-01_10_1_744	3066(4)-02_10_1_745	3066(5)-01_11_1_746	3066(5)-02_11_1_747	CR1-01_2_1_728	CR1-02_2_1_729	CR2-01_3_1_730	CR2-02_3_1_731	CR3-01_4_1_732	CR3-02_4_1_733	CR4-01_5_1_734	CR4-02_5_1_735	CR5-01_6_1_736	CR5-02_6_1_737
Factors	-	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control
N-Acetyl-L-phenylalanine	N-Acetylphenylalanine	7240	8752	2664	2258	5442	5628	1866	2048	2354	1308	868	922	3166	2554	936	972	2202	1828	1924	1906	10930	8602	2638	2556	7156	8034	6814	6054	2380	2244
N-Acetylputrescine	N-Acetylputrescine	4290	4574	3372	3068	4020	3170	2492	2740	2500	3580	3520	3256	3922	4254	3274	3082	2752	3272	2984	3902	6460	6380	3978	3718	5364	5376	6118	5436	4682	5290
N-Acetylserotonin	N-Acetylserotonin			2836	3018					3072	3214	4048	4092	2992	2802	4960	3710	3574	5006	4026	3138			4166	3898					3100	3666
Naproxen	Naproxen	3444	2744	1040	1686	2908	2410	1302	778	780	808	1396	1208	1668	1550	736	480	1160	1298	1272	1304	4158	4344	1354	1294	2908	2630	2812	3942	1728	1460
Niacinamide	Niacinamide	31738	32590	40296	38934	34726	33532	11208	11226	25832	25600	32606	27518	38736	43574	15360	15740	4376	5192	35106	31316		1398	1840	1804	28840	25188	1690	1408		2022
N_N-Dimethylformamide	N,N-Dimethylformamide	16940	14630	11564	11798	6748	7630	8328	7254	7832	8020	14474	15772	12824	12330	13542	11236	11838	12596	12472	12342	7910	1614	11664	13172	10084	10370	1944	2278	12934	6774
Nutriacholic acid	7-Ketolithocholic acid	7168	7310	13384	11420	9384	11306	13158	9208	12498	13236	2356	3244	11252	13764	11714	11968	14982	15242	9684	8588	2032	2056	2942	3914	2260	3252	3682	4830	4728	5304
o-Tyrosine	o-Tyrosine	25716	15680	19914	14422	17998	14184	24076	24914	12640	8964	32842	25444	31238	18456	16834	17454	9216	9642	17678	9110	27156	28622	26940	26628	26266	28898	10414	5606	20984	17368
Oxypurinol	Oxypurinol	10708	11232	10652	9594	10240	10458	11154	11614	8202	7382	15044	14560	12808	12570	13770	10804	10958	11024	10772	10566	16988	14188	13392	13830	15254	15132	16024	15378	20572	17206
PA(16:0/16:0)	PA 16:0/16:0	3640	3582	4400	3326	4206	4066	4082	5082	4370	4296	2840	2732	4986	4176	5470	4090	3726	4984	3486	3156	2196	2980	4828	3874	4026	3706	4170	3430	4588	3878
